,Humidity,Temperature,Steps,Stress
0,21.33,90.33,123,1
1,21.41,90.41,93,1
2,27.12,96.12,196,2
3,27.64,96.64,177,2
4,10.87,79.87,87,0
5,11.31,80.31,40,0
6,18.16,87.16,88,1
7,28.2,97.2,162,2
8,14.25,83.25,61,0
9,26.13,95.13,168,2
10,23.61,92.61,200,2
11,19.37,88.37,117,1
12,29.08,98.08,179,2
13,17.83,86.83,55,1
14,28.06,97.06,148,2
15,19.43,88.43,123,1
16,26.85,95.85,169,2
17,26.51,95.51,135,2
18,29.49,98.49,149,2
19,20.94,89.94,122,1
20,28.6,97.6,131,2
21,18.62,87.62,43,1
22,14.43,83.43,79,0
23,26.69,95.69,153,2
24,15.67,84.67,21,1
25,26.63,95.63,147,2
26,17.58,86.58,30,1
27,21.53,90.53,105,1
28,20.99,89.99,127,1
29,23.94,92.94,162,2
30,19.06,88.06,87,1
31,25.46,94.46,172,2
32,29.19,98.19,190,2
33,28.73,97.73,144,2
34,21.69,90.69,121,1
35,23.66,92.66,134,2
36,19.51,88.51,93,1
37,14.84,83.84,29,0
38,15.34,84.34,79,1
39,20.76,89.76,104,1
40,28.08,97.08,150,2
41,14.23,83.23,59,0
42,20.0,89.0,104,1
43,13.13,82.13,40,0
44,21.96,90.96,110,1
45,24.84,93.84,181,2
46,15.14,84.14,59,1
47,13.89,82.89,25,0
48,21.77,90.77,129,1
49,20.43,89.43,109,1
50,24.82,93.82,179,2
51,23.89,92.89,157,2
52,13.06,82.06,33,0
53,19.94,88.94,98,1
54,24.06,93.06,174,2
55,19.56,88.56,98,1
56,17.39,86.39,11,1
57,13.03,82.03,30,0
58,21.8,90.8,94,1
59,23.24,92.24,163,2
60,12.26,81.26,44,0
61,18.37,87.37,18,1
62,23.46,92.46,185,2
63,20.05,89.05,109,1
64,19.07,88.07,88,1
65,24.52,93.52,149,2
66,21.67,90.67,119,1
67,12.06,81.06,24,0
68,21.86,90.86,100,1
69,23.09,92.09,148,2
70,25.74,94.74,200,2
71,22.63,91.63,109,1
72,21.12,90.12,102,1
73,25.47,94.47,173,2
74,23.56,92.56,195,2
75,21.0,90.0,128,1
76,25.81,94.81,136,2
77,25.76,94.76,131,2
78,22.66,91.66,112,1
79,26.78,95.78,162,2
80,22.77,91.77,123,1
81,20.66,89.66,94,1
82,16.75,85.75,38,1
83,26.87,95.87,171,2
84,27.84,96.84,197,2
85,25.34,94.34,160,2
86,12.79,81.79,6,0
87,27.92,96.92,134,2
88,11.33,80.33,42,0
89,16.47,85.47,10,1
90,29.74,98.74,174,2
91,20.89,89.89,117,1
92,27.96,96.96,138,2
93,24.53,93.53,150,2
94,28.44,97.44,186,2
95,11.89,80.89,7,0
